,DoY,Hour,Tair,Rg,GPP_uStar_f,PAR,GPP_Sim,LAI_Sim
35056,1.0,8.0,9.024267,18.737,0.81814,38.55349794238683,0.7700596267289803,0.0054
35057,1.0,8.5,9.024267,18.737,0.8175100000000001,38.55349794238683,0.7700596267289803,0.0054
35058,1.0,9.0,9.165592,66.137,1.0548,136.0843621399177,2.7181210189984832,0.0054
35059,1.0,9.5,9.165592,66.137,1.0541,136.0843621399177,2.7181210189984832,0.0054
35060,1.0,10.0,8.146426,133.78,0.9694,275.26748971193416,5.498136140460213,0.0054
35061,1.0,10.5,8.146426,133.78,0.96879,275.26748971193416,5.498136140460213,0.0054
35062,1.0,11.0,6.808391,236.14,0.74192,485.8847736625514,9.704962387563722,0.0054
35063,1.0,11.5,6.808391,236.14,0.74135,485.8847736625514,9.704962387563722,0.0054
35064,1.0,12.0,5.897207,264.98,0.67792,545.2263374485598,10.890238559569049,0.0054
35065,1.0,12.5,5.897207,264.98,0.67737,545.2263374485598,10.890238559569049,0.0054
35066,1.0,13.0,5.21617,172.18,-0.086371,354.2798353909465,7.0763124582481645,0.0054
35067,1.0,13.5,5.21617,172.18,-0.086903,354.2798353909465,7.0763124582481645,0.0054
35068,1.0,14.0,5.218538,126.51,0.24043,260.30864197530866,5.199351196962338,0.0054
35069,1.0,14.5,5.218538,126.51,0.23989,260.30864197530866,5.199351196962338,0.0054
35070,1.0,15.0,3.676,97.94,0.18453,201.52263374485597,4.025171577191458,0.0054
35071,1.0,15.5,3.1739,19.34,0.20024,39.794238683127574,0.7948419267192445,0.0054
35103,2.0,7.5,-7.145,29.68,0.0423329999999999,61.06995884773663,1.2197987789569378,0.0054
35104,2.0,8.0,-6.3634,118.07,-0.075048,242.9423868312757,4.852481193781861,0.0054
35105,2.0,8.5,-5.8363,195.09,-0.013331,401.41975308641975,8.017875464511757,0.0054
35106,2.0,9.0,-5.5202,257.4,-0.059528,529.6296296296296,10.578713130172362,0.0054
35107,2.0,9.5,-5.2978,310.84,-1.5432,639.5884773662551,12.775008505760596,0.0054
35108,2.0,10.0,-5.0052,357.0,-1.4555,734.5679012345679,14.672107954434862,0.0054
35109,2.0,10.5,-4.6276,388.43,0.4745399999999999,799.238683127572,15.963828831207659,0.0054
35110,2.0,11.0,-4.1912,406.74,0.21811,836.9135802469136,16.71633946606957,0.0054
35111,2.0,11.5,-3.047,414.03,0.28454,851.9135802469135,17.015946376399626,0.0054
35112,2.0,12.0,-2.239,436.21,0.35433,897.551440329218,17.927507593288603,0.0054
35113,2.0,12.5,-1.789,420.71,0.17179,865.6584362139918,17.290483298348153,0.0054
35114,2.0,13.0,-2.123,338.13,-0.31921,695.7407407407408,13.896582248271878,0.0054
35115,2.0,13.5,-0.982,281.48,0.37958,579.1769547325104,11.568361196118559,0.0054
35116,2.0,14.0,-1.361,255.28,0.35597,525.2674897119342,10.491584645961154,0.0054
35117,2.0,14.5,-1.477,130.5,0.73202,268.51851851851853,5.363333579982492,0.0054
35118,2.0,15.0,-1.8195,96.1,0.78475,197.73662551440327,3.9495506286307847,0.0054
35119,2.0,15.5,-2.0816,51.6,0.78869,106.17283950617285,2.12067442702756,0.0054
35120,2.0,16.0,-2.4501,11.1,-0.061213,22.839506172839506,0.4561915918605798,0.0054
35152,3.0,8.0,-1.7508,17.38,-0.1608,35.76131687242798,0.7142891771654843,0.0054
